Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),606,5.705515871271927,0.7577778324387336,-4.845851534138017,12.911902439450195,1.2191211511483875,-8.591568962083576
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),606,4.805185543683654,0.854173950466311,-4.3571343717874385,11.573363955006455,1.4385175244184905,-6.598727818805691
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),707,4.0341608773249105,0.8015835303026977,-3.934501812168863,10.489637431252486,1.4594760337411268,-5.698491224284187
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),707,4.7407479621556226,0.7815387647924507,-4.630115029056838,11.785446116731224,1.5176510673829748,-5.897556750174574
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),707,4.125971174197773,0.7474729704901506,-4.3834856699746165,11.662717071141572,1.4823686448291575,-5.958296348678828
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),808,4.0158993636003615,0.8007137736756452,-3.924502345806386,10.469338187920773,1.4585142265812516,-5.690344162575042
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),808,4.609486774737337,0.7874165237225073,-4.938058538688869,13.396510151259244,1.6839820767977436,-5.614519448632156
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),808,3.829115580368425,0.8224301226746747,-3.4818155262247283,9.375525933530614,1.3140554371995579,-6.655728255193728
3. 🌍 Global Forex & Commodities,1. LSTM-DNN (60% Real),909,4.027983853735373,0.8024699601469403,-3.9228480214054993,10.459769286744036,1.4615796698811048,-5.671529675386743
3. 🌍 Global Forex & Commodities,2. Real-PPO (60% Real),909,5.5222417441725735,0.82860826809029,-4.937863511176661,14.465008311833216,1.3887908093176737,-9.873669481363393
3. 🌍 Global Forex & Commodities,3. RAI v8.2 (0% Real),909,3.806650033521297,0.9348232105066441,-3.2572711350822194,9.049743358599915,1.4814668373433664,-4.946085529594634
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),42,52.10948794433023,1.227615837630002,-27.15902296611291,-37.66544904454501,-1.3093875966117887,-42.690262481726684
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),42,48.019360375289246,1.2290130545077036,-24.87168733203782,-32.66236294956558,-1.1835062470839015,-38.77014566448702
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),42,30.352077131073173,1.2035595801557053,-17.071867065681623,-24.318606388493112,-1.2951468824688515,-28.526403225740342
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),101,51.783619471107414,1.2192432895916463,-27.33719540991717,-37.600899064910095,-1.3090569503265088,-42.620857502736456
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),101,53.356515843325106,1.150791495905187,-30.79543630134973,-35.735559427512385,-1.1462334489381547,-41.9934283489751
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),101,49.35992872033657,1.2274501731370764,-26.05800631720525,-36.65284416309582,-1.3137219834024718,-41.62141413692001
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),202,51.84479503486248,1.228335395042168,-27.005775245247044,-37.59482608950897,-1.308518173909836,-42.625433975520046
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),202,58.841611705093186,1.2778380046936257,-28.27577276128683,-39.41639937788144,-1.3040806973562549,-44.22387484273139
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),202,38.29115231655484,1.186526128098446,-22.419488886367954,-30.30648800400654,-1.2917882792076365,-34.86946494125622
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),303,51.778822818241245,1.2265832031103312,-27.065939981630766,-37.62960468888681,-1.3094423562883202,-42.65370570172939
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),303,54.143214365055584,1.2038143673416082,-29.42558208881165,-41.78523918013553,-1.3494516260051446,-46.57866837138302
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),303,53.55033918234988,1.1478051914614038,-31.075191145433767,-42.28692489830069,-1.3738494036522024,-46.962930160030986
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),404,51.886954198256575,1.222406429334194,-27.287799159016128,-37.671758530631706,-1.3092444470256945,-42.69429174400287
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),404,41.720594744923176,1.3174630265608718,-19.252603054809097,-27.741204529018127,-1.2924807453066487,-32.223447712108374
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),404,52.32834760404048,1.333044793842754,-23.608314176978627,-33.926503132458954,-1.2842539651861096,-38.84146890248951
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),505,51.81080118965766,1.2268141724442034,-27.089348777923796,-37.610457444569256,-1.3090261811597235,-42.63682689138393
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),505,60.74358149165751,1.237122982176294,-31.148628226236053,-42.5932712045026,-1.3055308230696263,-48.230801667344316
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),505,59.86667235321674,1.2457402424982742,-30.043048043469874,-41.2167669181999,-1.2906169748799394,-46.55635884409104
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),606,51.854560590784594,1.2246784281006542,-27.147400223605928,-37.6047548053126,-1.3089602254237713,-42.62766770764465
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),606,69.27726820245961,1.1529202308745696,-38.01272763526198,-52.70235885884147,-1.3247630823488088,-57.21054215912539
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),606,54.73000013074598,1.30301350716002,-24.598537875974582,-35.360969620760315,-1.2736905687355025,-41.019183017481794
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),707,51.877059778071825,1.2261086705980995,-27.14044451992214,-37.68066836678776,-1.308823310717154,-42.71216017760429
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),707,56.68521241192386,1.2158071511756163,-29.52480958044299,-42.11811113411416,-1.3131943052221833,-47.2039216541611
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),707,48.5708853624339,1.241660089678582,-24.810791346324333,-35.537165274780904,-1.343632862234482,-40.128928613341046
4. 🪙 Cryptocurrency Market,1. LSTM-DNN (60% Real),808,51.82718768134396,1.2245933623725478,-27.176079488751792,-37.69474869176668,-1.3100532669155665,-42.71456169320545
4. 🪙 Cryptocurrency Market,2. Real-PPO (60% Real),808,58.38571582643552,1.2614944482643433,-28.925021072285663,-40.46657822496491,-1.247734543164543,-46.25043189553858
4. 🪙 Cryptocurrency Market,3. RAI v8.2 (0% Real),808,42.45374294902915,1.31140768666657,-19.971375848263406,-28.6777983654012,-1.265423721148607,-33.954122274921936
