n_axiom,n_base,mean_axiom,mean_base,sd_axiom,sd_base,diff,cohens_d,base_zero_variance,welch_t,welch_p,mwu_u,mwu_p,Universe,Window,Comparison,n_universes_welch_p_lt_05,sign_test_p,paired_ci95_lo,paired_ci95_hi,cluster_ols_beta,cluster_robust_se,naive_ols_se,cluster_ols_p_tG1,n_universes_axiom_ahead,base_is_deterministic_constant,test,unbalanced_no_seed_comparator
10,10,0.03499995388922509,-0.7242448891033062,0.35787037321233794,0.2054323817140953,0.7592448429925313,2.6020947318570116,False,5.818460704326367,4.038456737660985e-05,98.0,0.00032983852077799353,India_Nifty_50,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,0.4030403909521749,-0.5070460931530406,0.26453756558226355,0.20918058807036422,0.9100864841052155,3.8163435339260174,False,8.53360356735035,1.438509931845961e-07,100.0,0.00018267179110955002,Forex_Commodities,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,1.1450916028700031,1.1690292506954632,0.17025445328238198,0.105146683436147,-0.02393764782546004,-0.16917508374091755,False,-0.378286987343911,0.7105196598602402,49.0,0.9698499769931556,Crypto_PIT,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
60,60,0.9833089146117111,0.07032838457180021,0.6717190452905877,0.6802141514972405,0.9129805300399109,1.350602986052065,False,7.397557216945512,2.2115793495419838e-11,2970.0,8.341811356905732e-10,POOLED (60 vs 60),OOS,Axiom vs XGBoost (real),5.0,,,,,,,,,,,
6,6,0.9833089146117112,0.0703283845718002,,,0.9129805300399108,1.7842575125736098,False,4.370520475532885,0.007218535293759931,1.0,0.0625,CLUSTER-CORRECTED (n=6 universes),OOS,Axiom vs XGBoost (real),,0.21875,0.3759984520588986,1.449962608020923,0.9129805300399105,0.20977843146644137,0.12341648780337301,0.007344536437257275,5.0,,,
10,1,1.3446010840571165,0.9997955176194911,0.17213247356219308,,0.3448055664376254,2.003140716577478,False,6.33448713820664,0.0001353355939807016,0.0,0.001953125,US_ETFs,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,1.8956493196795812,0.9997955176194911,0.40777158936046004,,0.89585380206009,2.1969500216165807,False,6.9473659738645495,6.704168619817247e-05,0.0,0.001953125,US_MegaCap_PIT,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,1.0764711362221655,0.9997955176194911,0.2302564534295258,,0.07667561860267436,0.3330009537654169,False,1.0530414769071408,0.31977160359062795,15.0,0.232421875,Global_Indices,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,0.03499995388922509,0.8166114911132321,0.35787037321233794,,-0.781611537224007,-2.1840632690771735,False,-6.906614484197066,7.015032966965835e-05,0.0,0.001953125,India_Nifty_50,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,0.4030403909521749,0.8658355495225643,0.26453756558226355,,-0.46279515857038933,-1.7494496766527223,False,-5.532245630067699,0.00036467564864755273,1.0,0.00390625,Forex_Commodities,OOS,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
