Universe,Window,Model,Seed,Offset,Sharpe,Return (%),Max DD (%),Rebalances,Mean Cash Frac,Mean Top Weight
India_Nifty_50,OOS,Axiom v0.9,404,-2.5,-0.10749137639506486,-2.0000923767722667,-11.534660112478699,16,0.06521814339292747,0.3475966239231006
India_Nifty_50,OOS,Axiom v0.9,505,-2.5,0.334766631935863,3.015400845702687,-10.114433154789163,14,0.11362637906438505,0.27524081901621716
India_Nifty_50,OOS,Axiom v0.9,606,-2.5,0.03773697646415573,-0.40945291407515905,-14.627256511153004,16,0.047504042138322426,0.3275522636320018
India_Nifty_50,OOS,Axiom v0.9,707,-2.5,-0.13486728420400104,-1.339774381471981,-9.035532218588592,19,0.333327852435524,0.22593028228076553
India_Nifty_50,OOS,Axiom v0.9,808,-2.5,-0.19576383880627635,-2.1568169524546654,-8.868847578927019,17,0.3341149228284832,0.1745092729911574
India_Nifty_50,OOS,Axiom v0.9,909,-2.5,-0.039249483632591266,-0.9001441949101574,-9.959486922817591,13,0.14985714257720156,0.20623253225313815
India_Nifty_50,OOS,RAI v6 Fast,-1,-2.5,0.9946750531074889,13.885166969495554,-9.983415552008367,114,0.05742561238789495,0.7635118461770818
India_Nifty_50,OOS,Axiom v0.9,42,-1.5,0.6310520113782813,4.975272048899959,-7.572895972020362,14,0.3569822281614719,0.2710765695464646
India_Nifty_50,OOS,Axiom v0.9,101,-1.5,0.7459527469661016,5.695404755579947,-5.819846539460282,13,0.40005977661458975,0.2100903169013827
India_Nifty_50,OOS,Axiom v0.9,202,-1.5,-0.015917073359281032,-0.9723642813458389,-14.810936891075485,21,0.03737037840710579,0.2271635286356407
India_Nifty_50,OOS,Axiom v0.9,303,-1.5,-0.3712517022126353,-4.59569132191342,-13.061959517105596,13,0.05550949113120053,0.2244803099002632
India_Nifty_50,OOS,Axiom v0.9,404,-1.5,-0.11181838244378633,-1.782946229785265,-10.453683332212632,17,0.15855483947671967,0.31333797532620333
India_Nifty_50,OOS,Axiom v0.9,505,-1.5,0.32979949780137974,2.5541176166856694,-8.528517992428284,14,0.2579798908832687,0.22931345362790398
India_Nifty_50,OOS,Axiom v0.9,606,-1.5,0.033220879729060425,-0.37338613575919055,-13.62873542713269,15,0.11828640212155522,0.3040769160489209
India_Nifty_50,OOS,Axiom v0.9,707,-1.5,-0.13664045520905582,-0.7758409992295823,-5.702766445348742,10,0.5819401085780623,0.1420533684760888
India_Nifty_50,OOS,Axiom v0.9,808,-1.5,-0.20323901309111508,-1.3195797060397862,-5.610078061585629,10,0.5787130491645253,0.1111192859999434
India_Nifty_50,OOS,Axiom v0.9,909,-1.5,-0.029233957967314688,-0.5545805202097465,-7.940660649872018,13,0.3249278827874959,0.16395500146014444
India_Nifty_50,OOS,RAI v6 Fast,-1,-1.5,0.9823816884018292,12.376555929093257,-9.08106262404537,115,0.14467179436067104,0.6829718593998783
India_Nifty_50,OOS,Axiom v0.9,42,-0.5,0.6027176233423698,2.97546198783305,-4.761472072452261,5,0.6029506130917535,0.16733246035026486
India_Nifty_50,OOS,Axiom v0.9,101,-0.5,0.7275209488143821,3.2930463343187277,-3.4846926810928416,7,0.6467179812934403,0.12638861959453057
India_Nifty_50,OOS,Axiom v0.9,202,-0.5,-0.015627922679628852,-0.8678928967199462,-14.00902800640315,20,0.0951958063668836,0.21304848227169365
India_Nifty_50,OOS,Axiom v0.9,303,-0.5,-0.3863496988273829,-4.311571665560788,-12.04184205053522,12,0.1364913353781337,0.20492216859548748
India_Nifty_50,OOS,Axiom v0.9,404,-0.5,-0.12153185031098612,-1.3920124019135782,-8.311668197570885,15,0.33539329527700423,0.24542409912767732
India_Nifty_50,OOS,Axiom v0.9,505,-0.5,0.32967463857486434,1.8490401782015553,-6.008744438952986,10,0.4854772843500815,0.1578561718763818
India_Nifty_50,OOS,Axiom v0.9,606,-0.5,0.036053833520178345,-0.1758074940285015,-11.45063937365745,15,0.2630279887321344,0.25468134883745414
India_Nifty_50,OOS,Axiom v0.9,707,-0.5,-0.13386267751183206,-0.3450483419151662,-2.7344469856703904,4,0.7954108431548815,0.06907788765365028
India_Nifty_50,OOS,Axiom v0.9,808,-0.5,-0.24885854911949004,-0.7732082219053305,-3.02207164167638,4,0.7856752594262137,0.05494875770223682
India_Nifty_50,OOS,Axiom v0.9,909,-0.5,-0.04533596203085713,-0.3643949693579618,-5.1856253487789,10,0.5651282500646555,0.10545270524591588
India_Nifty_50,OOS,RAI v6 Fast,-1,-0.5,0.9587752644121053,9.466999650852138,-7.21359643082505,116,0.3228835624021895,0.5266452785800275
India_Nifty_50,OOS,Axiom v0.9,42,0.0,0.5900737920236906,2.115752072648469,-3.4503559776388673,4,0.7136565527293735,0.12137637643485825
India_Nifty_50,OOS,Axiom v0.9,101,0.0,0.6899339536405147,2.237612050366966,-2.4674817385249592,5,0.7498815307810014,0.09037086658050893
